OKLAHOMA CITY THUNDER,,,Totals,,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Shai Gilgeous-Alexander,26,7,267,70,158,8,33,64,70,2,30,32,39,13,11,24,22,212,0.443,0.242,0.914,38.1,30.3,4.6,5.6,1.9,1.6
2,Jalen Williams,23,7,243,55,127,8,30,47,58,7,28,35,26,6,0,15,23,165,0.433,0.267,0.81,34.7,23.6,5,3.7,0.9,0
3,Chet Holmgren,22,7,212,30,76,3,19,23,27,14,48,62,4,4,11,10,15,86,0.395,0.158,0.852,30.3,12.3,8.9,0.6,0.6,1.6
4,Alex Caruso,30,7,202,23,53,10,25,15,18,9,16,25,11,17,6,8,21,71,0.434,0.4,0.833,28.9,10.1,3.6,1.6,2.4,0.9
5,Luguentz Dort,25,7,220,19,45,17,38,2,4,11,21,32,5,11,3,3,25,57,0.422,0.447,0.5,31.4,8.1,4.6,0.7,1.6,0.4
6,Cason Wallace,21,7,156,18,38,5,16,1,2,5,13,18,5,12,4,4,18,42,0.474,0.313,0.5,22.3,6,2.6,0.7,1.7,0.6
7,Aaron Wiggins,26,7,100,12,33,10,22,7,10,2,12,14,5,4,2,8,8,41,0.364,0.455,0.7,14.3,5.9,2,0.7,0.6,0.3
8,Isaiah Hartenstein,26,7,134,14,23,0,0,11,16,19,28,47,16,6,2,7,11,39,0.609,,0.688,19.1,5.6,6.7,2.3,0.9,0.3
9,Isaiah Joe,25,5,41,8,13,5,9,3,3,0,3,3,1,1,0,2,5,24,0.615,0.556,1,8.2,4.8,0.6,0.2,0.2,0
10,Jaylin Williams,22,3,15,3,4,3,4,1,2,0,6,6,1,1,0,1,2,10,0.75,0.75,0.5,5,3.3,2,0.3,0.3,0
11,Kenrich Williams,30,7,55,3,10,1,6,0,2,5,7,12,4,0,1,2,0,7,0.3,0.167,0,7.9,1,1.7,0.6,0,0.1
12,Dillon Jones,23,3,10,2,2,0,0,0,0,1,1,2,1,0,0,1,2,4,1,,,3.3,1.3,0.7,0.3,0,0
13,Ajay Mitchell,22,4,19,1,7,0,2,2,2,3,2,5,5,0,0,3,0,4,0.143,0,1,4.8,1,1.3,1.3,0,0
14,Ousmane Dieng,21,3,6,1,3,1,2,0,0,0,0,0,0,0,1,0,0,3,0.333,0.5,,2,1,0,0,0,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,,,,,,,,,,
1,Shai Gilgeous-Alexander,26,7,7,267,0.561,0.468,0.9,13.2,6.9,27.3,2.4,4,11.3,34.2,114,108,21.8,,,,,,,,,,
2,Jalen Williams,23,7,7,243,0.541,0.465,3.3,13.5,8.3,19.2,1.2,0,9,29.6,112,113,15.3,,,,,,,,,,
3,Chet Holmgren,22,7,7,212,0.489,0.414,7.3,26.7,16.8,3,0.9,5.6,10.2,19.8,100,108,9.4,,,,,,,,,,
4,Alex Caruso,30,7,0,202,0.583,0.528,4.9,9.1,7,7.8,4.2,3.1,11.6,14.6,117,106,9.4,,,,,,,,,,
5,Luguentz Dort,25,7,7,220,0.609,0.611,5,11.1,8.1,3.1,2.5,1.4,6,9.7,127,110,7.1,,,,,,,,,,
6,Cason Wallace,21,7,3,156,0.54,0.539,3.5,9.6,6.6,4.5,3.8,2.6,9.3,11.8,102,107,5.2,,,,,,,,,,
7,Aaron Wiggins,26,7,0,100,0.548,0.515,2.5,13.5,7.9,7.4,1.9,1.9,17.6,19.3,94,110,3.5,,,,,,,,,,
8,Isaiah Hartenstein,26,7,4,134,0.649,0.609,15.4,24.8,19.8,17.6,2.2,1.4,18.9,11.9,134,107,7.9,,,,,,,,,,
9,Isaiah Joe,25,5,0,41,0.838,0.808,0,8.5,4.4,5.5,1.2,0,12.3,17.3,134,114,3.3,,,,,,,,,,
10,Jaylin Williams,22,3,0,15,1.025,1.125,0,42.2,22.9,14.1,3.2,0,17,17.8,144,96,3.2,,,,,,,,,,
11,Kenrich Williams,30,7,0,55,0.322,0.35,11,14.2,12.9,9.6,0,2.1,15.5,10.2,91,114,1.1,,,,,,,,,,
12,Dillon Jones,23,3,0,10,1,1,12.5,10.2,11.2,27.4,0,0,33.3,13.8,139,113,1.1,,,,,,,,,,
13,Ajay Mitchell,22,4,0,19,0.254,0.143,14,11.5,13.8,42.8,0,0,27.6,24.6,73,115,0.7,,,,,,,,,,
14,Ousmane Dieng,21,3,0,6,0.5,0.5,0,0,0,0,0,17.1,0,24.2,89,107,0.7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA PACERS,,,Totals,,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Pascal Siakam,30,7,234,44,97,10,28,37,47,16,38,54,26,11,9,12,18,135,0.454,0.357,0.787,33.4,19.3,7.7,3.7,1.6,1.3
2,Tyrese Haliburton,24,7,210,37,81,16,45,8,8,2,30,32,41,8,4,22,9,98,0.457,0.356,1,30,14,4.6,5.9,1.1,0.6
3,Bennedict Mathurin,22,7,144,24,57,7,21,32,41,18,18,36,9,4,5,9,13,87,0.421,0.333,0.78,20.6,12.4,5.1,1.3,0.6,0.7
4,T.J. McConnell,32,7,142,37,67,3,5,7,9,3,22,25,30,15,1,19,11,84,0.552,0.6,0.778,20.3,12,3.6,4.3,2.1,0.1
5,Andrew Nembhard,25,7,237,27,58,11,26,17,22,6,16,22,26,9,1,17,21,82,0.466,0.423,0.773,33.9,11.7,3.1,3.7,1.3,0.1
6,Obi Toppin,26,7,166,29,64,13,36,6,12,4,31,35,8,5,3,10,13,77,0.453,0.361,0.5,23.7,11,5,1.1,0.7,0.4
7,Myles Turner,28,7,190,23,61,6,28,22,29,9,22,31,10,2,10,14,20,74,0.377,0.214,0.759,27.1,10.6,4.4,1.4,0.3,1.4
8,Aaron Nesmith,25,7,189,22,57,17,36,5,7,9,32,41,7,6,5,10,32,66,0.386,0.472,0.714,27,9.4,5.9,1,0.9,0.7
9,Ben Sheppard,23,7,95,8,18,4,12,0,0,4,11,15,1,5,1,4,12,20,0.444,0.333,,13.6,2.9,2.1,0.1,0.7,0.1
10,Thomas Bryant,27,6,32,3,6,2,5,2,4,0,2,2,1,0,1,0,7,10,0.5,0.4,0.5,5.3,1.7,0.3,0.2,0,0.2
11,Tony Bradley,27,3,24,2,4,0,0,5,6,4,3,7,0,0,0,2,5,9,0.5,,0.833,8,3,2.3,0,0,0
12,Johnny Furphy,20,4,12,1,1,0,0,0,1,0,1,1,0,0,0,1,1,2,1,,0,3,0.5,0.3,0,0,0
13,James Johnson,37,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,,,2.5,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,,,,,,,,,,
1,Pascal Siakam,30,7,7,234,0.574,0.505,7.7,18.6,13.1,19.4,2.3,3.5,9.3,23.8,121,110,17.1,,,,,,,,,,
2,Tyrese Haliburton,24,7,7,210,0.58,0.556,1.1,15.4,8.5,31.5,1.8,1.7,20.7,21.8,106,113,11.5,,,,,,,,,,
3,Bennedict Mathurin,22,7,0,144,0.58,0.482,14.4,14.3,13.9,11.3,1.4,2.9,10.7,25.4,120,114,10.1,,,,,,,,,,
4,T.J. McConnell,32,7,0,142,0.592,0.575,2.4,17.2,9.8,42.3,5.1,0.7,21.1,27.3,106,105,10.4,,,,,,,,,,
5,Andrew Nembhard,25,7,7,237,0.606,0.56,2.9,7.5,5.3,17.8,1.8,0.3,20.1,15.3,112,116,8.8,,,,,,,,,,
6,Obi Toppin,26,7,0,166,0.556,0.555,2.9,21.4,12.1,7.9,1.5,1.5,12.6,20.4,99,111,7.3,,,,,,,,,,
7,Myles Turner,28,7,7,190,0.502,0.426,5.4,12.6,9,8.7,0.5,4.5,16,19.9,94,113,6.4,,,,,,,,,,
8,Aaron Nesmith,25,7,7,189,0.549,0.535,5.7,17.9,12.1,5.7,1.6,2.5,14.3,15.8,101,111,5.9,,,,,,,,,,
9,Ben Sheppard,23,7,0,95,0.556,0.556,4.9,12.7,8.8,1.4,2.5,1.1,18.2,10,93,110,2,,,,,,,,,,
10,Thomas Bryant,27,6,0,32,0.644,0.667,0,6.7,3.5,4,0,3.2,0,10.3,119,117,0.9,,,,,,,,,,
11,Tony Bradley,27,3,0,24,0.678,0.5,17.8,12.5,15.7,0,0,0,23.1,15.5,123,118,2.1,,,,,,,,,,
12,Johnny Furphy,20,4,0,12,0.694,1,0,10.2,5.1,0,0,0,41,8.3,50,116,0.1,,,,,,,,,,
13,James Johnson,37,2,0,5,0.5,0.5,0,0,0,0,0,0,0,17.9,78,120,0.1,,,,,,,,,,